Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,League Position,Promoted,Relegated,prev_season_points,prev_season_league,prev_season_position,prev_season_gd,promoted_from_championship
Everton,2021/2022,Premier League,38,9,2,8,27,25,2,4,13,16,41,11,6,21,43,66,39,-23,16.0,0,0,59.0,Premier League,9.0,-1.0,False
Burnley,2021/2022,Premier League,39,5,6,8,18,25,3,8,9,17,28,8,14,17,35,53,38,-18,17.0,0,0,39.0,Premier League,17.0,-22.0,False
Leeds,2021/2022,Premier League,38,4,6,9,19,38,5,5,9,23,41,9,11,18,42,79,38,-37,17.0,0,0,59.0,Premier League,9.0,8.0,False
Peterboro,2021/2022,Championship,46,6,7,10,27,33,3,3,17,16,54,9,10,27,43,87,37,-44,23.0,0,0,0.0,N/A,0.0,0.0,False
Barnsley,2021/2022,Championship,46,5,7,11,18,29,1,5,17,15,44,6,12,28,33,73,30,-40,24.0,0,0,78.0,Championship,5.0,8.0,False
Watford,2021/2022,Premier League,38,2,2,15,17,46,4,3,12,17,31,6,5,27,34,77,23,-43,19.0,1,0,91.0,Championship,2.0,33.0,True
Norwich,2021/2022,Premier League,39,3,3,13,12,43,2,4,14,11,42,5,7,27,23,85,22,-62,20.0,1,0,97.0,Championship,1.0,39.0,True
Sunderland,2021/2022,Championship,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,25.0,0,0,0.0,N/A,0.0,0.0,False
Rotherham,2021/2022,Championship,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,25.0,0,0,42.0,Championship,24.0,-16.0,False
Wigan,2021/2022,Championship,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25.0,0,0,0.0,N/A,0.0,0.0,False
Burnley,2022/2023,Championship,45,16,6,1,49,15,12,8,2,37,20,28,14,3,86,35,98,51,1.0,0,0,38.0,Premier League,17.0,-18.0,False
Sheffield United,2022/2023,Championship,46,16,3,4,47,19,12,4,7,26,20,28,7,11,73,39,91,34,2.0,0,0,75.0,Championship,6.0,18.0,False
Man City,2022/2023,Premier League,38,17,1,1,60,17,11,4,4,34,16,28,5,5,94,33,89,61,1.0,0,0,93.0,Premier League,1.0,73.0,False
Arsenal,2022/2023,Premier League,38,14,3,2,53,25,12,3,4,35,18,26,6,6,88,43,84,45,2.0,0,0,69.0,Premier League,5.0,13.0,False
Luton,2022/2023,Championship,45,10,8,4,31,21,11,8,4,26,18,21,16,8,57,39,79,18,3.0,0,0,76.0,Championship,5.0,8.0,False
Man United,2022/2023,Premier League,38,15,3,1,36,10,8,3,8,22,33,23,6,9,58,43,75,15,3.0,0,0,58.0,Premier League,6.0,0.0,False
Middlesbrough,2022/2023,Championship,45,13,6,3,45,18,9,2,12,38,37,22,8,15,83,55,74,28,4.0,0,0,71.0,Championship,9.0,9.0,False
Newcastle,2022/2023,Premier League,38,11,6,2,36,14,8,8,3,32,19,19,14,5,68,33,71,35,4.0,0,0,49.0,Premier League,11.0,-18.0,False
Coventry,2022/2023,Championship,45,11,7,5,30,24,7,8,7,27,21,18,15,12,57,45,69,12,5.0,0,0,65.0,Championship,12.0,1.0,False
Sunderland,2022/2023,Championship,45,7,8,7,32,32,11,6,6,35,22,18,14,13,67,54,68,13,6.0,0,0,1.0,Championship,25.0,0.0,False
Liverpool,2022/2023,Premier League,38,13,5,1,46,17,6,5,8,29,30,19,10,9,75,47,67,28,5.0,0,0,92.0,Premier League,2.0,68.0,False
Blackburn,2022/2023,Championship,45,12,4,6,26,19,7,5,11,25,35,19,9,17,51,54,66,-3,7.0,0,0,72.0,Championship,7.0,10.0,False
West Brom,2022/2023,Championship,45,11,7,5,31,20,7,4,11,27,32,18,11,16,58,52,65,6,8.0,0,0,68.0,Championship,10.0,7.0,False
Millwall,2022/2023,Championship,45,10,6,6,32,22,8,5,10,23,28,18,11,16,55,50,65,5,8.0,0,0,72.0,Championship,7.0,10.0,False
Swansea,2022/2023,Championship,45,11,4,8,38,32,7,7,8,29,31,18,11,16,67,63,65,4,8.0,0,0,62.0,Championship,15.0,-10.0,False
Watford,2022/2023,Championship,46,11,6,6,35,23,5,9,9,21,30,16,15,15,56,53,63,3,11.0,0,1,23.0,Premier League,19.0,-43.0,False
Norwich,2022/2023,Championship,45,8,5,10,27,27,9,6,7,30,26,17,11,17,57,53,62,4,12.0,0,1,22.0,Premier League,20.0,-62.0,False
Brighton,2022/2023,Premier League,38,10,4,5,37,21,8,4,7,35,32,18,8,12,72,53,62,19,6.0,0,0,51.0,Premier League,9.0,-2.0,False
Preston,2022/2023,Championship,45,7,7,9,20,28,10,4,8,25,31,17,11,17,45,59,62,-14,12.0,0,0,65.0,Championship,12.0,-4.0,False
Aston Villa,2022/2023,Premier League,38,12,2,5,33,21,6,5,8,18,25,18,7,13,51,46,61,5,7.0,0,0,45.0,Premier League,14.0,-2.0,False
